  ,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28,par29,par30,par31,par32,par33,par34,par35,par36,par37,par38
2897,164850,38,4.18E-03,7.137,7.927,8.103,3.952,2.612,9.161,8.991,4.601,2.809,9.312,4.505,3.073,2.32,1.41,1.087,112.1,172,152,114.8,52.85,21.84,264.5,233.1,176.8,81.09,33.84,206.2,155.5,71.72,29.54,118.2,54.13,22.69,25.01,10.33,4.468,0.2363
2898,164900,38,1.91E-03,8.452,9.149,9.594,4.535,3.115,10.28,10.34,5.124,3.246,10.99,5.142,3.631,2.562,1.614,1.269,146.6,223.8,199.5,148.9,69.54,28.24,342.2,304.4,227.9,106.1,43.46,271.7,202.5,94.73,38.37,151.9,70.61,29.02,33.09,13.41,5.661,0.2369
2899,164950,38,8.16E-03,9.329,10.78,10.7,5.477,3.303,13.12,12.28,6.719,3.588,12.36,6.252,3.897,3.45,1.818,1.344,151.3,232,206,154.3,71.46,29.46,356.4,315.4,237.3,109.4,45.57,280.6,209.8,97.38,39.97,158.2,72.76,30.45,33.87,13.89,5.979,0.2352
2900,165000,38,4.84E-03,10.82,11.26,12.32,5.576,4.052,12.11,12.78,6.038,4.078,14.15,6.351,4.748,3.021,2.03,1.699,109.8,169.7,149.5,113.2,52.11,22.4,263,230.7,175.7,80.42,35,203.6,153.8,71,30.39,117.5,53.65,23.46,24.86,10.63,4.809,0.2343
2901,165050,38,3.30E-03,7.105,7.459,8.096,3.691,2.678,8.171,8.515,4.087,2.748,9.346,4.242,3.173,2.056,1.375,1.164,113.7,174.1,154.8,115.9,54.19,22.19,267.4,236.9,178.4,83.07,34.55,211.1,157.7,73.86,30.14,119.1,55.38,23.2,25.97,10.7,4.75,0.2355
2902,165100,38,1.52E-03,8.329,8.317,9.216,4.012,2.955,8.592,9.18,4.184,2.83,10.36,4.464,3.441,2.053,1.384,1.27,112,173.1,152.1,115.8,53.34,22.72,268.1,234.8,179.5,82.42,35.53,206.5,157,72.42,30.78,120.3,55.18,23.89,25.49,10.87,4.899,0.2366
2903,165150,38,5.42E-03,3.953,4.068,4.215,1.93,1.327,4.795,4.436,2.404,1.25,4.625,2.153,1.518,1.236,0.5965,0.6047,112.9,173,152.9,115.8,53.73,22.04,265.9,234.3,178,82.32,34.25,207.2,156.7,72.77,29.84,119.3,55.15,23.01,25.7,10.54,4.633,0.2342
2904,165200,38,2.06E-03,9.864,10.72,11.03,5.347,3.43,12.15,11.99,6.136,3.552,12.49,6.027,3.978,3.124,1.784,1.394,143.7,220.9,195.3,147.5,68.47,28.57,339.9,300,227.2,105.2,44.21,265.4,200.4,93.04,38.79,151.8,70.3,29.61,32.77,13.64,5.894,0.2342
2905,165250,38,4.32E-03,6.656,6.921,7.31,3.408,2.345,7.56,7.593,3.775,2.287,8.266,3.797,2.801,1.908,1.158,1.102,130.9,200.2,177.8,133.7,62.65,25.54,306.7,271.9,205,95.77,39.36,241.7,181.6,85.17,34.66,137.1,63.99,26.36,30.1,12.24,5.188,0.2367
2906,165300,38,2.59E-03,7.124,7.624,8.112,3.841,2.657,8.522,8.694,4.345,2.726,9.414,4.43,3.18,2.237,1.398,1.177,175.1,267.6,238.3,178.8,84.7,34.55,409.4,364.1,273.8,129.5,53.14,324.5,243.3,115.3,46.99,183.2,86.56,35.63,41.12,16.8,7.076,0.2332
2907,165350,38,2.99E-03,7.559,8.102,8.629,4.106,2.681,9.109,9.202,4.659,2.68,9.999,4.702,3.211,2.402,1.374,1.166,131.8,203.7,178.6,136.8,63.33,27.29,315.4,275.9,211.9,97.88,42.55,242.1,185.2,85.86,36.92,142.5,65.75,28.68,30.55,13.17,5.91,0.2373
2908,165400,38,2.47E-03,7.526,7.861,8.635,3.963,2.797,8.604,9.012,4.378,2.796,10.13,4.61,3.385,2.254,1.446,1.227,89.91,138.4,121.5,93.11,43.36,18.23,213.7,187,143.9,66.7,28.43,164.4,125.7,58.65,24.6,96.93,44.88,19.21,20.99,8.801,3.937,0.2357
2909,165450,38,1.20E-02,27.41,34.6,31.18,17.8,8.747,45.6,39.61,23.68,10.69,35.81,20.5,10.14,12.36,5.529,3.051,44.37,67.05,60.21,44.53,20.76,4.701,101.8,90.86,67.76,31.38,7.146,81.77,60.28,28.19,6.34,45.17,20.87,4.777,9.819,2.204,0.8983,0.2358
2910,165500,38,4.36E-03,13.19,16.39,15.01,8.463,4.228,21.45,18.75,11.21,5.022,17.34,9.772,4.981,5.895,2.621,1.56,100.5,154.4,135.6,103.8,47.98,20.65,237.4,208,159.7,73.64,31.8,182.9,139.8,64.73,27.81,107.5,49.53,21.42,23.01,9.874,4.438,0.2362
2911,165550,38,5.60E-03,10.23,11.87,11.91,6.18,3.582,14.38,13.81,7.541,3.968,14.04,7.233,4.332,3.972,2.085,1.461,122.3,192.5,165.8,129.4,58.21,25.71,303.4,261,204.1,91.55,40.61,225,175.4,78.96,34.85,137.3,61.55,27.34,27.79,12.25,5.52,0.235
2912,165600,38,2.41E-03,8.233,9.649,9.571,5.008,2.862,12.06,11.38,6.399,3.211,11.48,6.038,3.522,3.453,1.704,1.202,198.6,310.3,270.4,208.1,95.45,40.67,485.9,422.5,325.9,149.1,63.95,368.2,283.2,130,55.33,218.7,99.97,42.96,45.97,19.55,8.554,0.2376
2913,165650,38,4.59E-03,9.674,11.29,11.1,5.849,3.066,13.73,13.04,7.19,3.458,13.11,6.87,3.77,3.812,1.842,1.23,126.5,198.1,172.3,132.8,60.72,26.3,310.7,269.7,208.4,94.96,41.39,234.8,180.8,82.71,35.75,139.9,63.69,27.83,29.25,12.63,5.622,0.2353
2914,165700,38,4.28E-03,9.339,10.64,11.49,5.687,3.677,12.73,13.04,6.841,3.95,14.41,7.048,4.734,3.704,2.147,1.7,132.1,208.8,180.2,140.4,64.02,28.56,330.5,284.8,222.2,101,45.19,245.8,191.4,87.29,38.89,149.5,67.98,30.43,31.13,13.86,6.259,0.2356
2915,165750,38,1.10E-02,5.847,6.44,7.062,3.398,2.26,7.535,7.751,4.015,2.294,8.739,4.149,2.89,2.164,1.229,1.088,110.7,175.9,152.1,118,54.37,24.22,280,241.7,187.9,86.25,38.6,209,162.1,74.69,33.24,126.1,57.89,25.95,26.82,11.93,5.431,0.238
2916,165800,38,6.25E-03,11.95,14.06,14.41,7.492,4.357,17.06,17.02,9.159,4.981,17.51,9.113,5.324,4.94,2.649,1.73,102.3,162.8,141.1,108.7,49.86,22.79,259.7,224.4,173.5,79.17,36.51,194.8,149.7,68.76,31.35,116,52.88,24.46,24.39,11.11,5.234,0.2341
