,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28,par29,par30,par31,par32,par33,par34,par35,par36,par37,par38
670,53500,38,9.29E-02,7007,9356,7657,4033,1211,1.26E+04,1.03E+04,5416,1601,8456,4480,1363,2382,735.1,257.6,125.9,301.4,386.9,477.2,352.2,187.7,778.2,982.1,1191,846.1,451.8,1245,1509,1080,573.8,1894,1375,751.1,1021,561.9,323,124.1
671,53550,38,8.02E-02,5250,6912,5767,3060,977.4,9158,7624,4048,1268,6389,3406,1099,1821,596,223.1,83.11,191.1,249.6,294.7,219.1,107.6,509.5,642.1,745.9,513.6,254.2,817.6,939.3,656.3,318.4,1204,865.7,467,653.7,360.4,221.4,124
672,53600,38,5.06E-02,4911,6537,5515,2957,936.5,8784,7390,3967,1222,6245,3360,1062,1812,577.4,213,80.84,192.8,250.6,282.8,207.7,95.17,555.8,688.3,780.9,527.4,261.3,864.2,964.5,662.2,315.6,1205,845.9,453,622.9,334.9,206.2,125.1
673,53650,38,0.1755,7603,1.02E+04,8665,4677,1477,1.38E+04,1.17E+04,6313,1970,9923,5367,1699,2907,926.2,320.8,109.9,261.1,336.2,420.2,303,147.9,679.2,855.3,1053,733.9,369.6,1084,1326,928.9,459,1757,1254,659.2,914.2,485.6,279.2,126
674,53700,38,9.60E-02,1.24E+04,1.69E+04,1.43E+04,7742,2441,2.30E+04,1.94E+04,1.05E+04,3304,1.65E+04,8929,2817,4843,1532,499.7,93.73,201.4,267.1,328.2,247.8,114.8,499.5,639.2,767.4,540.4,261.2,826.8,984.1,703.1,331,1304,954,488.8,729.4,375.5,212.4,126.6
675,53750,38,0.1693,1.10E+04,1.50E+04,1.28E+04,6954,2243,2.06E+04,1.75E+04,9532,3064,1.49E+04,8121,2622,4432,1434,476.8,73.22,156,208.1,248.4,189,86.84,421.5,529.2,613,423,216.3,675.5,777.7,548.4,268.7,990.4,719.3,382.3,548.3,286.8,169.6,127
676,53800,38,8.38E-02,7725,1.07E+04,9136,5003,1568,1.50E+04,1.28E+04,7026,2190,1.09E+04,5998,1876,3303,1034,333.1,147.1,334.5,438.9,526.8,378.9,176.4,811.6,1049,1234,861,408.6,1362,1596,1119,523.3,2005,1434,712.6,1048,524.7,282,127.2
677,53850,38,0.1227,6929,9340,7875,4244,1364,1.27E+04,1.07E+04,5794,1842,9053,4903,1568,2661,851.7,286.3,155.3,363.3,476.5,554.4,377.1,168.8,906.3,1168,1354,900.7,419.8,1514,1745,1165,532.1,2111,1432,690.7,989.7,482.8,256.8,125.1
678,53900,38,0.2311,4888,6793,5653,3052,894.1,9510,7914,4283,1242,6605,3582,1051,1947,573.9,182.7,131.3,304.7,396.8,489.6,344,168.7,771.4,983.7,1189,806,408.1,1262,1521,1036,516,1945,1359,708.4,974.7,512.7,286.6,125.1
679,53950,38,3.28E-02,4070,5674,4628,2466,654,8013,6571,3531,935.5,5421,2930,789.2,1594,434.4,130.9,112.3,266.9,351,385.1,258,112.3,699.9,902.4,945.7,593.1,256.1,1170,1225,775.2,330.2,1407,944.6,442.9,669.6,326.5,175.1,124.5
