  ,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28
1689,104450,28,1.21E-04,7.67E-03,0.4748,0.7637,0.5824,0.3732,1.231,0.9356,0.6016,0.7154,0.456,0.2974,0.8301,1.143,0.9791,0.5863,0.1054,1.589,1.337,0.8161,0.1195,1.17,0.6772,0.1528,0.4292,4.93E-02,7.36E-02,0.2412
1690,104500,28,7.35E-04,9.19E-03,0.5632,0.9075,0.6846,0.4614,1.464,1.102,0.7444,0.833,0.5591,0.3827,1.158,1.583,1.412,0.7596,0.2072,2.181,1.921,1.045,0.2617,1.736,0.9139,0.2737,0.5133,0.1179,7.88E-02,0.2416
1691,104550,28,1.64E-05,7.59E-03,0.5217,0.8473,0.6315,0.4249,1.378,1.025,0.6902,0.7655,0.5123,0.3528,0.8253,1.056,1.061,0.4952,0.2275,1.37,1.345,0.6421,0.263,1.383,0.6167,0.3215,0.3206,0.1106,0.1187,0.2413
1692,104600,28,1.03E-04,8.08E-03,0.2818,0.4546,0.3409,0.2341,0.7356,0.549,0.3777,0.4133,0.2809,0.2023,0.9555,1.141,1.283,0.5322,0.359,1.38,1.52,0.6432,0.4059,1.734,0.7036,0.5009,0.3081,0.1844,0.1712,0.2429
1693,104650,28,2.72E-03,8.07E-03,0.2152,0.344,0.2605,0.182,0.5519,0.4158,0.2912,0.3164,0.2178,0.163,1.144,1.42,1.498,0.6674,0.3704,1.777,1.851,0.8334,0.4422,1.973,0.8626,0.4994,0.4034,0.2046,0.1482,0.2425
1694,104700,28,8.95E-05,8.31E-03,0.1818,0.2956,0.2176,0.159,0.4826,0.3534,0.2586,0.2616,0.1877,0.1488,1.108,1.413,1.425,0.669,0.3262,1.81,1.809,0.8617,0.404,1.847,0.8453,0.4357,0.4219,0.1803,0.1199,0.2398
1695,104750,28,2.03E-04,8.13E-03,0.1752,0.29,0.2086,0.1513,0.4821,0.3451,0.2485,0.2487,0.1789,0.1379,0.3919,0.4998,0.4905,0.257,0.1111,0.6471,0.6183,0.3338,0.1294,0.6235,0.3113,0.1514,0.1807,6.18E-02,5.47E-02,0.2446
1696,104800,28,6.97E-04,9.27E-03,0.2243,0.3708,0.2673,0.1949,0.6145,0.4417,0.3205,0.3189,0.2305,0.1775,1.016,1.29,1.279,0.6641,0.3349,1.649,1.615,0.8527,0.4086,1.626,0.8203,0.44,0.4533,0.2022,0.144,0.2406
1697,104850,28,1.82E-04,7.29E-03,0.1575,0.2621,0.1912,0.1195,0.4379,0.318,0.1978,0.2326,0.1441,9.61E-02,0.9492,1.235,1.205,0.5888,0.2754,1.617,1.563,0.7702,0.3435,1.539,0.7397,0.3621,0.3749,0.1618,0.1088,0.2422
1698,104900,28,1.51E-04,7.55E-03,0.1687,0.2826,0.2061,0.1213,0.475,0.3449,0.2026,0.2522,0.1475,9.06E-02,1.068,1.374,1.347,0.6853,0.332,1.778,1.729,0.8846,0.4125,1.707,0.8575,0.4311,0.4483,0.2042,0.1326,0.2408
